bairro;cidade;lat;lng;zona
adao do carmo leonel;ribeirao preto - sp;-21.1926853;-47.848287;oeste
adelino simioni;ribeirao preto - sp;-21.1125931;-47.8007606;norte
alamedas do botanico;ribeirao preto - sp;-21.2213509;-47.7956137;sul
alto da boa vista;ribeirao preto - sp;-21.1989489;-47.8155695;sul
alto do ipiranga;ribeirao preto - sp;-21.1537397;-47.8291479;oeste
antonio marincek;ribeirao preto - sp;-21.1253032;-47.8069304;norte
avelino alves palma;ribeirao preto - sp;-21.1120669;-47.7871894;norte
bonfim paulista;ribeirao preto - sp;-21.2642972;-47.81865519999999;sul
bosque das juritis;ribeirao preto - sp;-21.2112372;-47.8026115;sul
campos eliseos;ribeirao preto - sp;-21.1623803;-47.7982928;norte
castelo branco;ribeirao preto - sp;-21.1963759;-47.7726031;leste
centro;ribeirao preto - sp;-21.1781827;-47.8106327;central
chacaras pedro correa de carvalho;ribeirao preto - sp;-21.1230466;-47.7995267;norte
cidade universitaria;ribeirao preto - sp;-21.1606199;-47.84186649999999;oeste
city ribeirao;ribeirao preto - sp;-21.2172677;-47.7810219;sul
condominio aroeira;ribeirao preto - sp;-21.2306166;-47.7769529;sul
condominio evidence;ribeirao preto - sp;-21.2379039;-47.7901006;sul
condominio guapore;ribeirao preto - sp;-21.2230091;-47.78548809999999;sul
condominio ipe roxo;ribeirao preto - sp;-21.235401;-47.8389162;sul
condominio itamaraty;ribeirao preto - sp;-21.2114533;-47.8121754;sul
condominio mirante sul;ribeirao preto - sp;-21.2326281;-47.784934;sul
condominio portal dos ipes;ribeirao preto - sp;-21.152668;-47.832543;leste
condominio reserva domaine eco residence;ribeirao preto - sp;-21.2376482;-47.83392809999999;sul
condominio vila florenca;ribeirao preto - sp;-21.2564473;-47.8143383;sul
conjunto habitacional jardim das palmeiras;ribeirao preto - sp;-21.1148463;-47.7686889;norte
conjunto habitacional silvio passalacqua;ribeirao preto - sp;-21.1287256;-47.81618659999999;norte
dom bernardo jose mielle;ribeirao preto - sp;-21.1345151;-47.847052;oeste
engenheiro carlos de lacerda chaves;ribeirao preto - sp;-21.139179;-47.8544624;oeste
esplanada da estacao;ribeirao preto - sp;-21.1582238;-47.76498950000001;norte
geraldo correia de carvalho;ribeirao preto - sp;-21.1255664;-47.8137181;norte
ibiza residence;ribeirao preto - sp;-21.1994876;-47.8237838;oeste
iguatemi;ribeirao preto - sp;-21.1944412;-47.7791717;leste
independencia;ribeirao preto - sp;-21.1541492;-47.787355;norte
ipiranga;ribeirao preto - sp;-21.1426797;-47.8205067;norte
jamil seme cury;ribeirao preto - sp;-21.1444093;-47.8538448;oeste
jardim aeroporto;ribeirao preto - sp;-21.1405568;-47.7662226;norte
jardim alexandre balbo;ribeirao preto - sp;-21.1296651;-47.8291479;norte
jardim america;ribeirao preto - sp;-21.1960042;-47.8019945;sul
jardim angelo jurca;ribeirao preto - sp;-21.1694581;-47.7230818;leste
jardim anhanguera;ribeirao preto - sp;-21.1797337;-47.7723885;leste
jardim antartica;ribeirao preto - sp;-21.1680367;-47.8365558;oeste
jardim arlindo laguna;ribeirao preto - sp;-21.143695;-47.849522;oeste
jardim bela vista;ribeirao preto - sp;-21.1694018;-47.8110855;oeste
jardim bom pastor;ribeirao preto - sp;-21.1694018;-47.8110855;leste
jardim botanico;ribeirao preto - sp;-21.2154745;-47.7908903;sul
jardim cadacaam;ribeirao preto - sp;-21.1727296;-47.7819469;leste
jardim california;ribeirao preto - sp;-21.2038022;-47.8267528;sul
jardim canada;ribeirao preto - sp;-21.2166992;-47.8106327;sul
jardim castelo branco;ribeirao preto - sp;-21.1860546;-47.77732169999999;leste
jardim centenario;ribeirao preto - sp;-21.1694018;-47.8110855;oeste
jardim cristo redentor;ribeirao preto - sp;-21.1111299;-47.83229439999999;norte
jardim das palmeiras;ribeirao preto - sp;-21.1148463;-47.7686889;norte
jardim diva tarla de carvalho;ribeirao preto - sp;-21.125984;-47.7402334;leste
jardim do trevo;ribeirao preto - sp;-21.1812585;-47.75574229999999;leste
jardim dona branca salles;ribeirao preto - sp;-21.1966009;-47.8532272;oeste
jardim dos geranios;ribeirao preto - sp;-21.2302589;-47.7811443;sul
jardim dos hibiscos;ribeirao preto - sp;-21.2307221;-47.7828025;sul
jardim doutor paulo gomes romeo;ribeirao preto - sp;-21.1469309;-47.848287;oeste
jardim eugenio mendes lopes;ribeirao preto - sp;-21.137185;-47.8538448;oeste
jardim florestan fernandes;ribeirao preto - sp;-21.1297212;-47.74649669999999;leste
jardim florida;ribeirao preto - sp;-21.200161;-47.8402549;oeste
jardim heitor rigon;ribeirao preto - sp;-21.1138697;-47.81680370000001;norte
jardim helena;ribeirao preto - sp;-21.1852564;-47.7354041;leste
jardim herculano fernandes;ribeirao preto - sp;-21.1266191;-47.8211238;norte
jardim horizonte verde;ribeirao preto - sp;-21.1801867;-47.7514613;leste
jardim iara;ribeirao preto - sp;-21.1598213;-47.7606328;norte
jardim ilhas do sul;ribeirao preto - sp;-21.2389168;-47.8151254;sul
jardim independencia;ribeirao preto - sp;-21.1541492;-47.787355;norte
jardim interlagos;ribeirao preto - sp;-21.1912944;-47.7551259;leste
jardim iraja;ribeirao preto - sp;-21.2070067;-47.8031083;sul
jardim itapora;ribeirao preto - sp;-21.1821757;-47.77053859999999;leste
jardim itau;ribeirao preto - sp;-21.1864833;-47.8773175;oeste
jardim jandaia;ribeirao preto - sp;-21.1308691;-47.80939859999999;norte
jardim javari;ribeirao preto - sp;-21.1354392;-47.8214324;norte
jardim joao rossi;ribeirao preto - sp;-21.2107699;-47.8266788;sul
jardim joaquim procopio de araujo ferraz;ribeirao preto - sp;-21.1335766;-47.8340863;norte
jardim joquei clube;ribeirao preto - sp;-21.1516869;-47.7711552;norte
jardim jose figueira;ribeirao preto - sp;-21.1804459;-47.7354041;leste
jardim jose sampaio junior;ribeirao preto - sp;-21.1385424;-47.8266788;norte
jardim jose wilson toni;ribeirao preto - sp;-21.2588122;-47.8174654;sul
jardim jovino campos;ribeirao preto - sp;-21.132031;-47.8507571;oeste
jardim juliana;ribeirao preto - sp;-21.1868012;-47.7384852;leste
jardim macedo;ribeirao preto - sp;-21.1848681;-47.797059;leste
jardim manoel penna;ribeirao preto - sp;-21.2143173;-47.7674557;leste
jardim marchesi;ribeirao preto - sp;-21.2016011;-47.8439647;oeste
jardim maria casagrande lopes;ribeirao preto - sp;-21.1249639;-47.8235927;norte
jardim maria das gracas;ribeirao preto - sp;-21.2048555;-47.8535623;oeste
jardim maria goretti;ribeirao preto - sp;-21.1937696;-47.8340863;oeste
jardim mario paiva arantes;ribeirao preto - sp;-21.1509755;-47.8368644;oeste
jardim monte carlo;ribeirao preto - sp;-21.1694018;-47.8110855;sul
jardim mosteiro;ribeirao preto - sp;-21.1735877;-47.7995267;norte
jardim nova alianca;ribeirao preto - sp;-21.2149029;-47.8205067;sul
jardim nova alianca sul;ribeirao preto - sp;-21.224462;-47.8242099;sul
jardim novo mundo;ribeirao preto - sp;-21.1694018;-47.8110855;leste
jardim olhos d'agua;ribeirao preto - sp;-21.2379308;-47.808744;sul
jardim orestes lopes de camargo;ribeirao preto - sp;-21.1224429;-47.8291479;norte
jardim ouro branco;ribeirao preto - sp;-21.1600924;-47.7514275;leste
jardim paiva;ribeirao preto - sp;-21.152537;-47.8489045;oeste
jardim palma travassos;ribeirao preto - sp;-21.189826;-47.7896566;leste
jardim paulista;ribeirao preto - sp;-21.1832877;-47.7958252;leste
jardim paulistano;ribeirao preto - sp;-21.1746323;-47.7871894;leste
jardim pedra branca;ribeirao preto - sp;-21.1694018;-47.8110855;leste
jardim piratininga;ribeirao preto - sp;-21.1839168;-47.8451996;oeste
jardim porto seguro;ribeirao preto - sp;-21.1479562;-47.7569752;leste
jardim presidente dutra;ribeirao preto - sp;-21.133126;-47.81680370000001;norte
jardim presidente dutra ii;ribeirao preto - sp;-21.1322057;-47.8189059;norte
jardim professor antonio palocci;ribeirao preto - sp;-21.1263115;-47.7384576;leste
jardim progresso;ribeirao preto - sp;-21.2077872;-47.8524786;oeste
jardim recreio;ribeirao preto - sp;-21.1703733;-47.8797889;oeste
jardim roberto benedetti;ribeirao preto - sp;-21.2112262;-47.7612905;leste
jardim saint gerard;ribeirao preto - sp;-21.2289257;-47.79210579999999;sul
jardim salgado filho;ribeirao preto - sp;-21.1276277;-47.7711552;norte
jardim santa angela;ribeirao preto - sp;-21.2077714;-47.805968;sul
jardim santa cecilia;ribeirao preto - sp;-21.1694018;-47.8110855;sul
jardim sao jose;ribeirao preto - sp;-21.2296498;-47.7625235;leste
jardim sao luiz;ribeirao preto - sp;-21.1951267;-47.8006082;sul
jardim sul;ribeirao preto - sp;-21.2258609;-47.7850905;sul
jardim sumare;ribeirao preto - sp;-21.1893921;-47.81186690000001;sul
jardim valencia;ribeirao preto - sp;-21.2586971;-47.7934758;sul
jardim vilico cantarelli;ribeirao preto - sp;-21.1420383;-47.7392184;leste
jardim zara;ribeirao preto - sp;-21.1822831;-47.76498950000001;leste
jardim zara l;ribeirao preto - sp;-21.1822831;-47.76498950000001;leste
lagoinha;ribeirao preto - sp;-21.1906915;-47.7694183;leste
loteamento santa marta;ribeirao preto - sp;-21.211979;-47.844064;sul
loteamento terras de florenca;ribeirao preto - sp;-21.2482564;-47.8350984;sul
loteamento terras de siena;ribeirao preto - sp;-21.2443752;-47.8390068;sul
ltm santa cecilia;ribeirao preto - sp;-21.1924988;-47.8088008;sul
nova alianca;ribeirao preto - sp;-21.2164121;-47.8254443;sul
nova fiusa;ribeirao preto - sp;-21.2023059;-47.8122454;sul
nova ribeirania;ribeirao preto - sp;-21.1989835;-47.7723885;leste
nucleo sao luis;ribeirao preto - sp;-21.2429331;-47.7813302;sul
parc das primaveras;ribeirao preto - sp;-21.1197769;-47.8288226;norte
parque anhanguera;ribeirao preto - sp;-21.1896433;-47.7575916;leste
parque das andorinhas;ribeirao preto - sp;-21.1309794;-47.8433472;oeste
parque das figueiras;ribeirao preto - sp;-21.1302654;-47.8390253;norte
parque das gaivotas;ribeirao preto - sp;-21.1669178;-47.7152099;leste
parque das oliveiras;ribeirao preto - sp;-21.1198833;-47.8365558;norte
parque das oliveiras ii;ribeirao preto - sp;-21.1198833;-47.8365558;norte
parque dos bandeirantes;ribeirao preto - sp;-21.1803438;-47.7822553;leste
parque dos flamboyans;ribeirao preto - sp;-21.162998;-47.725546;leste
parque dos lagos;ribeirao preto - sp;-21.1971425;-47.7427989;leste
parque dos pinus;ribeirao preto - sp;-21.119652;-47.820162;norte
parque dos sabias;ribeirao preto - sp;-21.1088711;-47.7865726;norte
parque industrial avelino alves palma;ribeirao preto - sp;-21.117781;-47.7822553;norte
parque industrial lagoinha;ribeirao preto - sp;-21.1954821;-47.7681292;leste
parque industrial tanquinho;ribeirao preto - sp;-21.1343271;-47.797059;norte
parque residencial candido portinari;ribeirao preto - sp;-21.1442973;-47.7391014;leste
parque residencial cidade universitaria;ribeirao preto - sp;-21.1575032;-47.8414949;oeste
parque residencial emir garcia;ribeirao preto - sp;-21.1499973;-47.8356297;oeste
parque residencial lagoinha;ribeirao preto - sp;-21.1875749;-47.7736452;leste
parque ribeirao preto;ribeirao preto - sp;-21.1998734;-47.8501395;oeste
parque sao sebastiao;ribeirao preto - sp;-21.1761769;-47.7489621;leste
planalto verde;ribeirao preto - sp;-21.1438839;-47.84026009999999;oeste
portal da mata;ribeirao preto - sp;-21.2170635;-47.8537545;sul
portal do alto;ribeirao preto - sp;-21.1412491;-47.8513746;oeste
portal dos ypes;ribeirao preto - sp;-21.1941278;-47.71137820000001;leste
praca das arvores;ribeirao preto - sp;-21.2386143;-47.7918141;sul
praca das flores;ribeirao preto - sp;-21.2315146;-47.7878945;sul
presidente dutra;ribeirao preto - sp;-21.133126;-47.81680370000001;norte
presidente medici;ribeirao preto - sp;-21.1911371;-47.7841055;leste
quinta da boa vista;ribeirao preto - sp;-21.2109412;-47.8461364;sul
quinta da primavera;ribeirao preto - sp;-21.2315146;-47.7878945;sul
quintas de sao jose;ribeirao preto - sp;-21.2547539;-47.79799389999999;sul
quintino facci i;ribeirao preto - sp;-21.1230066;-47.7816386;norte
quintino facci ii;ribeirao preto - sp;-21.1207151;-47.7958252;norte
real sul;ribeirao preto - sp;-21.1694018;-47.8110855;sul
recreio anhanguera;ribeirao preto - sp;-21.2146672;-47.7489621;leste
recreio das acacias;ribeirao preto - sp;-21.2334981;-47.7711552;sul
republica;ribeirao preto - sp;-21.1844316;-47.81927229999999;oeste
reserva do bosque;ribeirao preto - sp;-21.1288149;-47.75146669999999;leste
reserva macauba;ribeirao preto - sp;-21.152153;-47.824488;oeste
reserva real;ribeirao preto - sp;-21.1867548;-47.7300254;leste
reserva sant\'anna;ribeirao preto - sp;-21.226167;-47.8350781;sul
reserva sant` anna;ribeirao preto - sp;-21.2317301;-47.783822;sul
reserva sul condominio;ribeirao preto - sp;-21.2320733;-47.7833219;sul
residencial alto do castelo;ribeirao preto - sp;-21.2741424;-47.7594407;sul
residencial alto do ipe;ribeirao preto - sp;-21.1694018;-47.8110855;sul
residencial das americas;ribeirao preto - sp;-21.132261;-47.8198895;norte
residencial e comercial palmares;ribeirao preto - sp;-21.174311;-47.7625235;leste
residencial florida;ribeirao preto - sp;-21.2052001;-47.8242099;sul
residencial greenville;ribeirao preto - sp;-21.2178916;-47.7693054;leste
residencial jequitiba;ribeirao preto - sp;-21.2174127;-47.7628317;leste
residencial leo gomes de moraes;ribeirao preto - sp;-21.1237904;-47.7625235;norte
residencial liliana tenuto rossi;ribeirao preto - sp;-21.1694018;-47.8110855;norte
residencial monterrey;ribeirao preto - sp;-21.2424277;-47.810779;sul
residencial parque dos servidores;ribeirao preto - sp;-21.1924721;-47.7354041;leste
ribeirania;ribeirao preto - sp;-21.1995244;-47.7859558;leste
ribeirao verde;ribeirao preto - sp;-21.1294782;-47.7508172;leste
santa cecilia;ribeirao preto - sp;-21.1924988;-47.8088008;leste
santa cruz do jose jacques;ribeirao preto - sp;-21.2025068;-47.79767589999999;sul
santa martha;ribeirao preto - sp;-21.211979;-47.844064;sul
snta cecilia;ribeirao preto - sp;-21.1924988;-47.8088008;sul
solar boa vista;ribeirao preto - sp;-21.1859851;-47.8421123;oeste
sumarezinho;ribeirao preto - sp;-21.1626169;-47.8266788;oeste
valencia;ribeirao preto - sp;-21.2560856;-47.79422839999999;sul
valentina figueiredo;ribeirao preto - sp;-21.1196999;-47.8063134;norte
veredas de ribeirao;ribeirao preto - sp;-21.1694018;-47.8110855;sul
vila abranches;ribeirao preto - sp;-21.18607;-47.75574229999999;leste
vila albertina;ribeirao preto - sp;-21.1508031;-47.8155695;norte
vila amelia;ribeirao preto - sp;-21.157049;-47.8242099;oeste
vila ana maria;ribeirao preto - sp;-21.2085066;-47.81927229999999;sul
vila brasil;ribeirao preto - sp;-21.1387571;-47.7760883;norte
vila carvalho;ribeirao preto - sp;-21.1424478;-47.792124;norte
vila do golf;ribeirao preto - sp;-21.2349155;-47.8391975;sul
vila elisa;ribeirao preto - sp;-21.1337231;-47.7871894;norte
vila guiomar;ribeirao preto - sp;-21.1963234;-47.8266788;oeste
vila hipica;ribeirao preto - sp;-21.1783184;-47.7358579;leste
vila maria luiza;ribeirao preto - sp;-21.1593076;-47.8316171;oeste
vila mariana;ribeirao preto - sp;-21.1489143;-47.7896566;norte
vila monte alegre;ribeirao preto - sp;-21.163974;-47.8390253;oeste
vila pompeia;ribeirao preto - sp;-21.1401974;-47.8242099;norte
vila recreio;ribeirao preto - sp;-21.1459707;-47.8207443;norte
vila seixas;ribeirao preto - sp;-21.1863761;-47.8019945;leste
vila tamandare;ribeirao preto - sp;-21.1690411;-47.7998708;oeste
vila tiberio;ribeirao preto - sp;-21.1715675;-47.8205067;oeste
vila virginia;ribeirao preto - sp;-21.1827045;-47.8254443;oeste
villas mabel;ribeirao preto - sp;-21.1865804;-47.7441231;leste
boulevard;ribeirao preto - sp;-21.1867005;-47.8145286;sul
